,mean,std
accuracy,0.9735068289437638,0.005156728476116094
precision_macro,0.9740487095724981,0.005181676731502495
recall_macro,0.9733562343645177,0.0051467658741166196
f1_macro,0.9734749689776976,0.005116326292522577
precision_micro,0.9735068289437638,0.005156728476116094
recall_micro,0.9735068289437638,0.005156728476116094
f1_micro,0.9735068289437638,0.005156728476116094
precision_weighted,0.9740354139756631,0.005174021094403494
recall_weighted,0.9735068289437638,0.005156728476116094
f1_weighted,0.973543767957638,0.005120968307473961
roc_auc,0.9977971748749852,0.0009311487442396019
avg_precision,0.9912089368367376,0.003844238457384999
ae_val_recon_loss,0.614176619052887,0.034273847704104354
