,mean,std
accuracy,0.9568982115602864,0.012142934660788841
precision_macro,0.9619434311102231,0.008575145141035466
recall_macro,0.9566524748504206,0.012353224938393382
f1_macro,0.9576154748816833,0.011613241887518725
precision_micro,0.9568982115602864,0.012142934660788841
recall_micro,0.9568982115602864,0.012142934660788841
f1_micro,0.9568982115602864,0.012142934660788841
precision_weighted,0.9618714706641704,0.008743346113115702
recall_weighted,0.9568982115602864,0.012142934660788841
f1_weighted,0.95770125475953,0.01160335798544248
roc_auc,0.9974160081367713,0.0012537806888171217
avg_precision,0.9906026743880807,0.0043936396463469685
